index,u_grid,u_geom,t_progress,t_eval_used_for_tracks,x,y,width_eval,height_eval,theta_eval,theta_internal,theta_raw,tangent_angle,effective_theta,offset_eval,alpha_eval
150,0.493421,0.493421,0.493495,0.493495,138.532526,298.477294,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.532526,0.000000
151,0.496711,0.496711,0.496785,0.496785,138.516076,300.467142,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.516076,0.000000
152,0.500000,0.500000,0.500075,0.500075,138.499626,302.456991,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.499626,0.000000
153,0.503125,0.503125,0.503200,0.503200,138.483999,304.347347,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.483999,0.000000
154,0.506250,0.506250,0.506326,0.506326,138.468371,306.237703,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.468371,0.000000
155,0.509375,0.509375,0.509451,0.509451,138.452744,308.128060,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.452744,0.000000
156,0.512500,0.512500,0.512577,0.512577,138.437117,310.018416,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.437117,0.000000
157,0.515625,0.515625,0.515702,0.515702,138.421489,311.908772,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.421489,0.000000
158,0.518750,0.518750,0.518828,0.518828,138.405862,313.799128,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.405862,0.000000
159,0.521875,0.521875,0.521953,0.521953,138.390235,315.689484,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.390235,0.000000
160,0.525000,0.525000,0.525079,0.525079,138.374607,317.579841,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.374607,0.000000
161,0.528125,0.528125,0.528204,0.528204,138.358980,319.470197,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.358980,0.000000
162,0.531250,0.531250,0.531329,0.531329,138.343353,321.360553,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.343353,0.000000
163,0.534375,0.534375,0.534455,0.534455,138.327725,323.250909,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.327725,0.000000
164,0.537500,0.537500,0.537580,0.537580,138.312098,325.141265,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.312098,0.000000
165,0.540625,0.540625,0.540706,0.540706,138.296471,327.031622,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.296471,0.000000
166,0.543750,0.543750,0.543831,0.543831,138.280843,328.921978,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.280843,0.000000
167,0.546875,0.546875,0.546957,0.546957,138.265216,330.812334,70.000000,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.265216,0.000000
168,0.550000,0.550000,0.550082,0.550082,138.249589,332.702690,69.967102,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.249589,0.000000
169,0.553125,0.553125,0.553208,0.553208,138.233961,334.593046,68.716915,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.233961,0.000000
170,0.556250,0.556250,0.556333,0.556333,138.218334,336.483402,67.466728,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.218334,0.000000
171,0.559375,0.559375,0.559459,0.559459,138.202707,338.373759,66.216541,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.202707,0.000000
172,0.562500,0.562500,0.562584,0.562584,138.187079,340.264115,64.966354,6.000000,1.570796,1.570796,1.570796,1.570796,3.141593,0.187079,0.000000
